Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,B1a,B1b,BO1,BOP1,BA1,BAP1,DO1,DOP1,DA1,DAP1,W1,W1pre,W1post,G1,B2a,B2b,BO2,BOP2,BA2,BAP2,DO2,DOP2,DA2,DAP2,W2,W2pre,W2pos,G2,CC1,CC2,BO3,BOP3,BA3,BAP3,DO3,DOP3,DA3,DAP3,W3,W3pre,W3pos,G3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
9,0,2,55,23,28,35.33333333,23.55555556,-31.44444444,0.555555556,-4.444444444,40,75,57.5,38.33333333,56.66666667,37.77777778,2.5,-16.66666667,1.666666667,-17.22222222,0,,,1,15,30,22.5,15,22.66666667,15.11111111,-0.5,-8,-0.333333333,-7.888888889,1,,,1,35,42,38.5,25.66666667,35,23.33333333,10.5,-2.333333333,7,-4.666666667,0,,,0,0,7,0,,,,
9,0,3,30,40,32,34,22.66666667,-7.333333333,-17.33333333,-9.333333333,25,35,30,20,30,20,0,-10,0,-10,1,,,1,50,30,40,26.66666667,40,26.66666667,0,-13.33333333,0,-13.33333333,0,,,1,20,40,30,20,30.66666667,20.44444444,-2,-12,-1.333333333,-11.55555556,0,,,1,7,1,1,,,,
9,0,4,25,35,34,31.33333333,20.88888889,-4.111111111,-14.11111111,-13.11111111,23,28,25.5,17,25.33333333,16.88888889,0.5,-8,0.333333333,-8.111111111,1,,,1,45,35,40,26.66666667,38.33333333,25.55555556,5,-8.333333333,3.333333333,-9.444444444,0,,,1,35,25,30,20,31.33333333,20.88888889,-4,-14,-2.666666667,-13.11111111,0,,,2,6,1,2,19,10,3,
9,1,5,55,60,18,44.33333333,29.55555556,-25.44444444,-30.44444444,11.55555556,80,15,47.5,31.66666667,50,33.33333333,-7.5,-23.33333333,-5,-21.66666667,0,,,1,30,20,25,16.66666667,36.66666667,24.44444444,-35,-43.33333333,-23.33333333,-35.55555556,0,,,1,22,30,26,17.33333333,23.33333333,15.55555556,8,-0.666666667,5.333333333,-2.444444444,1,,,0,1,1,6,,,,
9,1,6,35,24,20,26.33333333,17.55555556,-17.44444444,-6.444444444,-2.444444444,30,40,35,23.33333333,35,23.33333333,0,-11.66666667,0,-11.66666667,0,,,2,32,15,23.5,15.66666667,23.66666667,15.77777778,-0.5,-8.333333333,-0.333333333,-8.222222222,0,,,2,25,30,27.5,18.33333333,25,16.66666667,7.5,-1.666666667,5,-3.333333333,1,,,2,0,2,8,,,,
9,1,7,20,22,19,20.33333333,13.55555556,-6.444444444,-8.444444444,-5.444444444,25,20,22.5,15,21.66666667,14.44444444,2.5,-5,1.666666667,-5.555555556,0,,,1,24,32,28,18.66666667,26,17.33333333,6,-3.333333333,4,-4.666666667,0,,,1,15,20,17.5,11.66666667,18,12,-1.5,-7.333333333,-1,-7,1,,,2,2,1,8,,,,
9,1,8,12,17,16,15,10,-2,-7,-6,15,17,16,10.66666667,14.66666667,9.777777778,4,-1.333333333,2.666666667,-2.222222222,1,,,2,18,13,15.5,10.33333333,16,10.66666667,-1.5,-6.666666667,-1,-6.333333333,0,,,2,18,20,19,12.66666667,18,12,3,-3.333333333,2,-4,0,,,1,8,2,1,11,6,23,
10,0,1,90,15,55,53.33333333,35.55555556,-54.44444444,20.55555556,-19.44444444,50,30,40,26.66666667,56.66666667,37.77777778,-50,-63.33333333,-33.33333333,-52.22222222,0,,,0,12,5,8.5,5.666666667,10.66666667,7.111111111,-6.5,-9.333333333,-4.333333333,-7.888888889,0,,,0,60,78,69,46,64.33333333,42.88888889,14,-9,9.333333333,-12.11111111,1,,,0,1,0,6,,,,
10,0,2,20,45,47,37.33333333,24.88888889,4.888888889,-20.11111111,-22.11111111,30,40,35,23.33333333,30,20,15,3.333333333,10,0,1,,,0,60,30,45,30,45,30,0,-15,0,-15,0,,,0,30,60,45,30,45.66666667,30.44444444,-2,-17,-1.333333333,-16.55555556,0,,,0,7,0,0,,,,
10,0,3,40,35,35,36.66666667,24.44444444,-15.55555556,-10.55555556,-10.55555556,70,15,42.5,28.33333333,41.66666667,27.77777778,2.5,-11.66666667,1.666666667,-12.22222222,0,,,1,55,30,42.5,28.33333333,40,26.66666667,7.5,-6.666666667,5,-8.333333333,1,,,1,30,45,37.5,25,36.66666667,24.44444444,2.5,-10,1.666666667,-10.55555556,1,,,2,0,4,5,,,,
10,0,4,30,45,40,38.33333333,25.55555556,-4.444444444,-19.44444444,-14.44444444,20,40,30,20,30,20,0,-10,0,-10,1,,,1,50,45,47.5,31.66666667,46.66666667,31.11111111,2.5,-13.33333333,1.666666667,-13.88888889,0,,,1,40,45,42.5,28.33333333,41.66666667,27.77777778,2.5,-11.66666667,1.666666667,-12.22222222,0,,,1,7,1,1,15,5,12,
10,1,5,35,15,32,27.33333333,18.22222222,-16.77777778,3.222222222,-13.77777778,60,20,40,26.66666667,38.33333333,25.55555556,5,-8.333333333,3.333333333,-9.444444444,0,,,1,30,75,52.5,35,40,26.66666667,37.5,20,25,11.66666667,1,,,1,53,81,67,44.66666667,55.33333333,36.88888889,35,12.66666667,23.33333333,4.888888889,0,,,0,1,7,0,,,,
10,1,6,20,23,28,23.66666667,15.77777778,-4.222222222,-7.222222222,-12.22222222,30,40,35,23.33333333,30,20,15,3.333333333,10,0,1,,,1,55,22,38.5,25.66666667,33.33333333,22.22222222,15.5,2.666666667,10.33333333,-0.777777778,0,,,1,16,51,33.5,22.33333333,31.66666667,21.11111111,5.5,-5.666666667,3.666666667,-6.888888889,0,,,1,7,1,1,,,,
10,1,7,25,18,43,28.66666667,19.11111111,-5.888888889,1.111111111,-23.88888889,20,35,27.5,18.33333333,26.66666667,17.77777778,2.5,-6.666666667,1.666666667,-7.222222222,0,,,2,42,20,31,20.66666667,26.66666667,17.77777778,13,2.666666667,8.666666667,-0.222222222,1,,,2,33,42,37.5,25,39.33333333,26.22222222,-5.5,-18,-3.666666667,-16.77777778,0,,,0,1,8,0,,,,
10,1,8,20,21,15,18.66666667,12.44444444,-7.555555556,-8.555555556,-2.555555556,25,30,27.5,18.33333333,25,16.66666667,7.5,-1.666666667,5,-3.333333333,0,,,1,52,19,35.5,23.66666667,30.66666667,20.44444444,14.5,2.666666667,9.666666667,-0.555555556,0,,,1,23,30,26.5,17.66666667,22.66666667,15.11111111,11.5,2.666666667,7.666666667,0.111111111,1,,,1,1,1,7,10,17,8,
,,,AZ,V,NAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
