Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,B1a,B1b,BO1,BOP1,BA1,BAP1,DO1,DOP1,DA1,DAP1,DO1n,DOP1n,DA1n,DAP1n,DO1a,DOP1a,DA1a,DAP1a,DO1na,DOP1na,DA1na,DAP1na,W1,G1,B2a,B2b,BO2,BOP2,BA2,BAP2,DO2,DOP2,DA2,DAP2,DO2n,DOP2n,DA2n,DAP2n,DO2a,DOP2a,DA2a,DAP2a,DO2na,DOP2na,DA2na,DAP2na,W2,G2,CC1,CC2,BO3,BOP3,BA3,BAP3,DO3,DOP3,DA3,DAP3,DO3n,DOP3n,DA3n,DAP3n,DO3a,DOP3a,DA3a,DAP3a,DO3na,DOP3na,DA3na,DAP3na,W3,G3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
1,1,1,100,86,29,71.66666667,47.77777778,-52.22222222,-38.22222222,18.77777778,30,20,25,16.66666667,50,33.33333333,-75,-83.33333333,-50,-66.66666667,-1.046511628,-1.162790698,-0.697674419,-0.930232558,75,83.33333333,50,66.66666667,1.046511628,1.162790698,0.697674419,0.930232558,0,0,46,15,30.5,20.33333333,49,32.66666667,-55.5,-65.66666667,-37,-53.33333333,-0.774418605,-0.91627907,-0.51627907,-0.744186047,55.5,65.66666667,37,53.33333333,0.774418605,0.91627907,0.51627907,0.744186047,0,0,72,50,61,40.66666667,50.33333333,33.55555556,32,11.66666667,21.33333333,4.555555556,0.446511628,0.162790698,0.297674419,0.063565891,32,11.66666667,21.33333333,4.555555556,0.446511628,0.162790698,0.297674419,0.063565891,1,0,1,0,6,,,,
1,1,2,33,71,14,39.33333333,26.22222222,-6.777777778,-44.77777778,12.22222222,50,70,60,40,51,34,27,7,18,1,0.686440678,0.177966102,0.457627119,0.025423729,27,7,18,1,0.686440678,0.177966102,0.457627119,0.025423729,1,1,1,38,19.5,13,36.66666667,24.44444444,-51.5,-58,-34.33333333,-46.55555556,-1.309322034,-1.474576271,-0.872881356,-1.183615819,51.5,58,34.33333333,46.55555556,1.309322034,1.474576271,0.872881356,1.183615819,0,1,25,39,32,21.33333333,26,17.33333333,18,7.333333333,12,3.333333333,0.457627119,0.186440678,0.305084746,0.084745763,18,7.333333333,12,3.333333333,0.457627119,0.186440678,0.305084746,0.084745763,0,0,7,1,0,,,,
1,1,3,27,30,2,19.66666667,13.11111111,-13.88888889,-16.88888889,11.11111111,30,60,45,30,39,26,18,3,12,-1,0.915254237,0.152542373,0.610169492,-0.050847458,18,3,12,1,0.915254237,0.152542373,0.610169492,0.050847458,0,0,52,10,31,20.66666667,30.66666667,20.44444444,1,-9.333333333,0.666666667,-9.555555556,0.050847458,-0.474576271,0.033898305,-0.485875706,1,9.333333333,0.666666667,9.555555556,0.050847458,0.474576271,0.033898305,0.485875706,0,0,33,10,21.5,14.33333333,15,10,19.5,12.33333333,13,8,0.991525424,0.627118644,0.661016949,0.406779661,19.5,12.33333333,13,8,0.991525424,0.627118644,0.661016949,0.406779661,1,1,1,0,7,,,,
1,1,4,7,11,19,12.33333333,8.222222222,1.222222222,-2.777777778,-10.77777778,20,30,25,16.66666667,19,12.66666667,18,9.666666667,12,5.666666667,1.459459459,0.783783784,0.972972973,0.459459459,18,9.666666667,12,5.666666667,1.459459459,0.783783784,0.972972973,0.459459459,1,1,5,51,28,18.66666667,22.33333333,14.88888889,17,7.666666667,11.33333333,3.888888889,1.378378378,0.621621622,0.918918919,0.315315315,17,7.666666667,11.33333333,3.888888889,1.378378378,0.621621622,0.918918919,0.315315315,0,1,25,63,44,29.33333333,35.66666667,23.77777778,25,10.33333333,16.66666667,4.777777778,2.027027027,0.837837838,1.351351351,0.387387387,25,10.33333333,16.66666667,4.777777778,2.027027027,0.837837838,1.351351351,0.387387387,0,0,7,1,0,16,2,13,
2,1,1,100,30,58,62.66666667,41.77777778,-58.22222222,11.77777778,-16.22222222,5,95,50,33.33333333,66.66666667,44.44444444,-50,-66.66666667,-33.33333333,-55.55555556,-0.79787234,-1.063829787,-0.531914894,-0.886524823,50,66.66666667,33.33333333,55.55555556,0.79787234,1.063829787,0.531914894,0.886524823,0,0,50,85,67.5,45,55,36.66666667,37.5,15,25,6.666666667,0.598404255,0.239361702,0.39893617,0.106382979,37.5,15,25,6.666666667,0.598404255,0.239361702,0.39893617,0.106382979,1,0,20,52,36,24,43.33333333,28.88888889,-22,-34,-14.66666667,-29.11111111,-0.35106383,-0.542553191,-0.234042553,-0.464539007,22,34,14.66666667,29.11111111,0.35106383,0.542553191,0.234042553,0.464539007,0,0,0,6,0,,,,
2,1,2,40,45,52,45.66666667,30.44444444,-9.555555556,-14.55555556,-21.55555556,25,16,20.5,13.66666667,27,18,-19.5,-26.33333333,-13,-22,-0.427007299,-0.576642336,-0.284671533,-0.481751825,19.5,26.33333333,13,22,0.427007299,0.576642336,0.284671533,0.481751825,1,0,25,60,42.5,28.33333333,43.33333333,28.88888889,-2.5,-16.66666667,-1.666666667,-16.11111111,-0.054744526,-0.364963504,-0.03649635,-0.352798054,2.5,16.66666667,1.666666667,16.11111111,0.054744526,0.364963504,0.03649635,0.352798054,0,0,18,50,34,22.66666667,40,26.66666667,-18,-29.33333333,-12,-25.33333333,-0.394160584,-0.642335766,-0.262773723,-0.554744526,18,29.33333333,12,25.33333333,0.394160584,0.642335766,0.262773723,0.554744526,0,1,6,0,1,,,,
2,1,3,60,35,35,43.33333333,28.88888889,-31.11111111,-6.111111111,-6.111111111,35,27,31,20.66666667,40.66666667,27.11111111,-29,-39.33333333,-19.33333333,-32.88888889,-0.669230769,-0.907692308,-0.446153846,-0.758974359,29,39.33333333,19.33333333,32.88888889,0.669230769,0.907692308,0.446153846,0.758974359,0,1,60,75,67.5,45,56.66666667,37.77777778,32.5,10,21.66666667,2.777777778,0.75,0.230769231,0.5,0.064102564,32.5,10,21.66666667,2.777777778,0.75,0.230769231,0.5,0.064102564,1,1,50,30,40,26.66666667,38.33333333,25.55555556,5,-8.333333333,3.333333333,-9.444444444,0.115384615,-0.192307692,0.076923077,-0.217948718,5,8.333333333,3.333333333,9.444444444,0.115384615,0.192307692,0.076923077,0.217948718,1,1,1,4,4,,,,
2,1,4,28,25,40,31,20.66666667,-7.333333333,-4.333333333,-19.33333333,28,40,34,22.66666667,32,21.33333333,6,-5.333333333,4,-6.666666667,0.193548387,-0.172043011,0.129032258,-0.215053763,6,5.333333333,4,6.666666667,0.193548387,0.172043011,0.129032258,0.215053763,0,1,30,50,40,26.66666667,35,23.33333333,15,1.666666667,10,-1.666666667,0.483870968,0.053763441,0.322580645,-0.053763441,15,1.666666667,10,1.666666667,0.483870968,0.053763441,0.322580645,0.053763441,1,1,45,50,47.5,31.66666667,45,30,7.5,-8.333333333,5,-10,0.241935484,-0.268817204,0.161290323,-0.322580645,7.5,8.333333333,5,10,0.241935484,0.268817204,0.161290323,0.322580645,0,0,2,7,0,9,17,5,
3,1,1,96,32,84,70.66666667,47.11111111,-48.88888889,15.11111111,-36.88888889,57,61,59,39.33333333,71.33333333,47.55555556,-37,-56.66666667,-24.66666667,-48.44444444,-0.523584906,-0.801886792,-0.349056604,-0.685534591,37,56.66666667,24.66666667,48.44444444,0.523584906,0.801886792,0.349056604,0.685534591,0,0,10,60,35,23.33333333,34,22.66666667,3,-8.666666667,2,-9.333333333,0.04245283,-0.122641509,0.028301887,-0.132075472,3,8.666666667,2,9.333333333,0.04245283,0.122641509,0.028301887,0.132075472,1,0,75,50,62.5,41.66666667,69.66666667,46.44444444,-21.5,-42.33333333,-14.33333333,-37.55555556,-0.304245283,-0.599056604,-0.202830189,-0.531446541,21.5,42.33333333,14.33333333,37.55555556,0.304245283,0.599056604,0.202830189,0.531446541,0,0,0,6,0,,,,
3,1,2,25,24,63,37.33333333,24.88888889,-0.111111111,0.888888889,-38.11111111,56,37,46.5,31,39.33333333,26.22222222,21.5,6,14.33333333,1.222222222,0.575892857,0.160714286,0.383928571,0.032738095,21.5,6,14.33333333,1.222222222,0.575892857,0.160714286,0.383928571,0.032738095,1,1,30,40,35,23.33333333,31.33333333,20.88888889,11,-0.666666667,7.333333333,-3.111111111,0.294642857,-0.017857143,0.196428571,-0.083333333,11,0.666666667,7.333333333,3.111111111,0.294642857,0.017857143,0.196428571,0.083333333,0,1,62,15,38.5,25.66666667,46.66666667,31.11111111,-24.5,-37.33333333,-16.33333333,-31.88888889,-0.65625,-1,-0.4375,-0.854166667,24.5,37.33333333,16.33333333,31.88888889,0.65625,1,0.4375,0.854166667,0,0,6,1,0,,,,
