Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,B1a,B1b,BO1,BOP1,BA1,BAP1,DO1,DOP1,DA1,DAP1,DO1n,DOP1n,DA1n,DAP1n,DO1a,DOP1a,DA1a,DAP1a,DO1na,DOP1na,DA1na,DAP1na,DO1r,DOP1r,DA1r,DAP1r,DO1ra,DOP1ra,DA1ra,DAP1ra,W1,W1_j1,W1_j2,G1,B2a,B2b,BO2,BOP2,BA2,BAP2,DO2,DOP2,DA2,DAP2,DO2n,DOP2n,DA2n,DAP2n,DO2a,DOP2a,DA2a,DAP2a,DO2na,DOP2na,DA2na,DAP2na,DO2r,DOP2r,DA2r,DAP2r,DO2ra,DOP2ra,DA2ra,DAP2ra,W2_T,W2,W4,G2,CC1,CC2,BO3,BOP3,BA3,BAP3,DO3,DOP3,DA3,DAP3,DO3n,DOP3n,DA3n,DAP3n,DO3a,DOP3a,DA3a,DAP3a,DO3na,DOP3na,DA3na,DAP3na,DO3r,DOP3r,DA3r,DAP3r,DO3ra,DOP3ra,DA3ra,DAP3ra,W3_T,W3,W5,G3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
2,1,3,60,35,35,43.33333333,28.88888889,-31.11111111,-6.111111111,-6.111111111,35,27,31,20.66666667,40.66666667,27.11111111,-29,-39.33333333,-19.33333333,-32.88888889,-0.669230769,-0.907692308,-0.446153846,-0.758974359,29,39.33333333,19.33333333,32.88888889,0.669230769,0.907692308,0.446153846,0.758974359,0.637362637,0.975206612,0.38410596,0.755102041,0.637362637,0.975206612,0.38410596,0.755102041,0,0,0,1,60,75,67.5,45,56.66666667,37.77777778,32.5,10,21.66666667,2.777777778,0.75,0.230769231,0.5,0.064102564,32.5,10,21.66666667,2.777777778,0.75,0.230769231,0.5,0.064102564,-0.634146341,-0.25,-0.472727273,-0.076335878,0.634146341,0.25,0.472727273,0.076335878,1,1,0,1,50,30,40,26.66666667,38.33333333,25.55555556,5,-8.333333333,3.333333333,-9.444444444,0.115384615,-0.192307692,0.076923077,-0.217948718,5,8.333333333,3.333333333,9.444444444,0.115384615,0.192307692,0.076923077,0.217948718,-0.133333333,0.27027027,-0.090909091,0.311926606,0.133333333,0.27027027,0.090909091,0.311926606,1,0,1,1,1,4,4,,,,
2,1,4,28,25,40,31,20.66666667,-7.333333333,-4.333333333,-19.33333333,28,40,34,22.66666667,32,21.33333333,6,-5.333333333,4,-6.666666667,0.193548387,-0.172043011,0.129032258,-0.215053763,6,5.333333333,4,6.666666667,0.193548387,0.172043011,0.129032258,0.215053763,-0.193548387,0.210526316,-0.133333333,0.27027027,0.193548387,0.210526316,0.133333333,0.27027027,0,1,0,1,30,50,40,26.66666667,35,23.33333333,15,1.666666667,10,-1.666666667,0.483870968,0.053763441,0.322580645,-0.053763441,15,1.666666667,10,1.666666667,0.483870968,0.053763441,0.322580645,0.053763441,-0.461538462,-0.064516129,-0.333333333,0.068965517,0.461538462,0.064516129,0.333333333,0.068965517,1,0,0,1,45,50,47.5,31.66666667,45,30,7.5,-8.333333333,5,-10,0.241935484,-0.268817204,0.161290323,-0.322580645,7.5,8.333333333,5,10,0.241935484,0.268817204,0.161290323,0.322580645,-0.171428571,0.23255814,-0.117647059,0.285714286,0.171428571,0.23255814,0.117647059,0.285714286,0,0,1,0,2,7,0,9,17,5,
2,2,5,25,89,82,65.33333333,43.55555556,18.55555556,-45.44444444,-38.44444444,30,50,40,26.66666667,35,23.33333333,15,1.666666667,10,-1.666666667,0.229591837,0.025510204,0.153061224,-0.025510204,15,1.666666667,10,1.666666667,0.229591837,0.025510204,0.153061224,0.025510204,-0.461538462,-0.064516129,-0.333333333,0.068965517,0.461538462,0.064516129,0.333333333,0.068965517,1,1,1,1,9,21,15,10,39.66666667,26.44444444,-74,-79,-49.33333333,-62.55555556,-1.132653061,-1.209183673,-0.755102041,-0.957482993,74,79,49.33333333,62.55555556,1.132653061,1.209183673,0.755102041,0.957482993,1.423076923,1.595959596,0.766839378,1.08373436,1.423076923,1.595959596,0.766839378,1.08373436,0,0,0,1,11,26,18.5,12.33333333,39.66666667,26.44444444,-63.5,-69.66666667,-42.33333333,-55.55555556,-0.971938776,-1.066326531,-0.647959184,-0.850340136,63.5,69.66666667,42.33333333,55.55555556,0.971938776,1.066326531,0.647959184,0.850340136,1.263681592,1.477031802,0.695890411,1.024590164,1.263681592,1.477031802,0.695890411,1.024590164,0,0,0,1,6,1,1,,,,
2,2,6,20,19,56,31.66666667,21.11111111,1.111111111,2.111111111,-34.88888889,43,60,51.5,34.33333333,41,27.33333333,31.5,14.33333333,21,7.333333333,0.994736842,0.452631579,0.663157895,0.231578947,31.5,14.33333333,21,7.333333333,0.994736842,0.452631579,0.663157895,0.231578947,-0.881118881,-0.527607362,-0.68852459,-0.309859155,0.881118881,0.527607362,0.68852459,0.309859155,1,0,1,0,10,30,20,13.33333333,19.66666667,13.11111111,1,-5.666666667,0.666666667,-5.888888889,0.031578947,-0.178947368,0.021052632,-0.185964912,1,5.666666667,0.666666667,5.888888889,0.031578947,0.178947368,0.021052632,0.185964912,-0.051282051,0.350515464,-0.034482759,0.366782007,0.051282051,0.350515464,0.034482759,0.366782007,0,1,0,0,32,46,39,26,44.66666667,29.77777778,-17,-30,-11.33333333,-26.22222222,-0.536842105,-0.947368421,-0.357894737,-0.828070175,17,30,11.33333333,26.22222222,0.536842105,0.947368421,0.357894737,0.828070175,0.357894737,0.731707317,0.225165563,0.611398964,0.357894737,0.731707317,0.225165563,0.611398964,0,0,0,0,7,0,0,,,,
2,2,7,45,63,17,41.66666667,27.77777778,-17.22222222,-35.22222222,10.77777778,15,70,42.5,28.33333333,43.33333333,28.88888889,-2.5,-16.66666667,-1.666666667,-16.11111111,-0.06,-0.4,-0.04,-0.386666667,2.5,16.66666667,1.666666667,16.11111111,0.06,0.4,0.04,0.386666667,0.057142857,0.454545455,0.037735849,0.436090226,0.057142857,0.454545455,0.037735849,0.436090226,0,0,1,1,22,17,19.5,13,34,22.66666667,-43.5,-50,-29,-40.33333333,-1.044,-1.2,-0.696,-0.968,43.5,50,29,40.33333333,1.044,1.2,0.696,0.968,1.054545455,1.315789474,0.597938144,0.941634241,1.054545455,1.315789474,0.597938144,0.941634241,0,1,0,1,6,12,9,6,11.66666667,7.777777778,-8,-11,-5.333333333,-9.222222222,-0.192,-0.264,-0.128,-0.221333333,8,11,5.333333333,9.222222222,0.192,0.264,0.128,0.221333333,0.615384615,0.956521739,0.372093023,0.744394619,0.615384615,0.956521739,0.372093023,0.744394619,1,0,0,0,1,1,6,,,,
2,2,8,15,27,24,22,14.66666667,-0.333333333,-12.33333333,-9.333333333,56,30,43,28.66666667,33.66666667,22.44444444,28,13.66666667,18.66666667,7.444444444,1.272727273,0.621212121,0.848484848,0.338383838,28,13.66666667,18.66666667,7.444444444,1.272727273,0.621212121,0.848484848,0.338383838,-0.965517241,-0.625954198,-0.767123288,-0.397626113,0.965517241,0.625954198,0.767123288,0.397626113,1,1,1,1,32,12,22,14.66666667,23.66666667,15.77777778,-5,-12.33333333,-3.333333333,-11.22222222,-0.227272727,-0.560606061,-0.151515152,-0.51010101,5,12.33333333,3.333333333,11.22222222,0.227272727,0.560606061,0.151515152,0.51010101,0.204081633,0.592,0.131578947,0.524675325,0.204081633,0.592,0.131578947,0.524675325,0,0,1,1,31,25,28,18.66666667,26.66666667,17.77777778,4,-5.333333333,2.666666667,-6.222222222,0.181818182,-0.242424242,0.121212121,-0.282828283,4,5.333333333,2.666666667,6.222222222,0.181818182,0.242424242,0.121212121,0.282828283,-0.153846154,0.25,-0.105263158,0.29787234,0.153846154,0.25,0.105263158,0.29787234,0,0,0,1,7,1,1,21,3,8,
4,1,1,12,36,24,24,16,4,-20,-8,41,30,35.5,23.66666667,27.66666667,18.44444444,23.5,11.66666667,15.66666667,6.444444444,0.979166667,0.486111111,0.652777778,0.268518519,23.5,11.66666667,15.66666667,6.444444444,0.979166667,0.486111111,0.652777778,0.268518519,-0.989473684,-0.654205607,-0.789915966,-0.423357664,0.989473684,0.654205607,0.789915966,0.423357664,1,1,1,2,14,24,19,12.66666667,24.66666667,16.44444444,-17,-23.33333333,-11.33333333,-19.55555556,-0.708333333,-0.972222222,-0.472222222,-0.814814815,17,23.33333333,11.33333333,19.55555556,0.708333333,0.972222222,0.472222222,0.814814815,0.618181818,0.95890411,0.373626374,0.745762712,0.618181818,0.95890411,0.373626374,0.745762712,0,0,0,2,48,87,67.5,45,53,35.33333333,43.5,21,29,11.33333333,1.8125,0.875,1.208333333,0.472222222,43.5,21,29,11.33333333,1.8125,0.875,1.208333333,0.472222222,-0.950819672,-0.608695652,-0.753246753,-0.382022472,0.950819672,0.608695652,0.753246753,0.382022472,0,0,0,0,7,2,0,,,,
4,1,2,15,72,5,30.66666667,20.44444444,5.444444444,-51.55555556,15.44444444,10,21,15.5,10.33333333,15.33333333,10.22222222,0.5,-4.666666667,0.333333333,-4.777777778,0.016304348,-0.152173913,0.010869565,-0.155797101,0.5,4.666666667,0.333333333,4.777777778,0.016304348,0.152173913,0.010869565,0.155797101,-0.032786885,0.368421053,-0.021978022,0.378854626,0.032786885,0.368421053,0.021978022,0.378854626,1,1,0,1,32,16,24,16,40,26.66666667,-48,-56,-32,-45.33333333,-1.565217391,-1.826086957,-1.043478261,-1.47826087,48,56,32,45.33333333,1.565217391,1.826086957,1.043478261,1.47826087,1,1.272727273,0.571428571,0.918918919,1,1.272727273,0.571428571,0.918918919,0,0,0,1,32,25,28.5,19,20.66666667,13.77777778,23.5,14,15.66666667,8.777777778,0.766304348,0.456521739,0.510869565,0.286231884,23.5,14,15.66666667,8.777777778,0.766304348,0.456521739,0.510869565,0.286231884,-1.402985075,-1.166666667,-1.220779221,-0.934911243,1.402985075,1.166666667,1.220779221,0.934911243,0,0,1,0,7,1,0,,,,
4,1,3,24,12,28,21.33333333,14.22222222,-9.777777778,2.222222222,-13.77777778,40,10,25,16.66666667,24.66666667,16.44444444,1,-7.333333333,0.666666667,-7.555555556,0.046875,-0.34375,0.03125,-0.354166667,1,7.333333333,0.666666667,7.555555556,0.046875,0.34375,0.03125,0.354166667,-0.040816327,0.360655738,-0.02739726,0.373626374,0.040816327,0.360655738,0.02739726,0.373626374,0,0,0,1,9,22,15.5,10.33333333,14.33333333,9.555555556,3.5,-1.666666667,2.333333333,-2.444444444,0.1640625,-0.078125,0.109375,-0.114583333,3.5,1.666666667,2.333333333,2.444444444,0.1640625,0.078125,0.109375,0.114583333,-0.254545455,0.149253731,-0.17721519,0.226804124,0.254545455,0.149253731,0.17721519,0.226804124,1,0,1,1,18,46,32,21.33333333,30.66666667,20.44444444,4,-6.666666667,2.666666667,-7.555555556,0.1875,-0.3125,0.125,-0.354166667,4,6.666666667,2.666666667,7.555555556,0.1875,0.3125,0.125,0.354166667,-0.133333333,0.27027027,-0.090909091,0.311926606,0.133333333,0.27027027,0.090909091,0.311926606,0,1,0,0,1,7,0,,,,
4,1,4,14,18,20,17.33333333,11.55555556,-2.444444444,-6.444444444,-8.444444444,20,16,18,12,16.66666667,11.11111111,4,-2,2.666666667,-2.888888889,0.230769231,-0.115384615,0.153846154,-0.166666667,4,2,2.666666667,2.888888889,0.230769231,0.115384615,0.153846154,0.166666667,-0.25,0.153846154,-0.173913043,0.230088496,0.25,0.153846154,0.173913043,0.230088496,1,1,1,0,26,32,29,19.33333333,25.33333333,16.88888889,11,1.333333333,7.333333333,-1.111111111,0.634615385,0.076923077,0.423076923,-0.064102564,11,1.333333333,7.333333333,1.111111111,0.634615385,0.076923077,0.423076923,0.064102564,-0.468085106,-0.071428571,-0.338461538,0.063694268,0.468085106,0.071428571,0.338461538,0.063694268,0,0,0,0,18,32,25,16.66666667,23.33333333,15.55555556,5,-3.333333333,3.333333333,-4.444444444,0.288461538,-0.192307692,0.192307692,-0.256410256,5,3.333333333,3.333333333,4.444444444,0.288461538,0.192307692,0.192307692,0.256410256,-0.222222222,0.181818182,-0.153846154,0.25,0.222222222,0.181818182,0.153846154,0.25,0,1,0,1,8,0,1,23,10,1,
